0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291
733,791,791,656,810,656,695,888,753,695,656,540,617,617,579,695,579,617,733,502,849,810,926,1274,1506,2008,2413,2780,3572,4325,5406,6217,6603,7047,7337,7569,7800,7723,7607,7492,7028,7183,7318,7607,8225,8496,8805,9365,9616,10407,10851,11006,11817,12087,12454,12898,12840,13246,13207,13053,13284,12763,12917,13014,13014,13381,13593,14057,14520,14520,14520,14964,15080,15505,16258,16161,16915,17030,17764,18382,18942,19618,20255,21008,21568,22167,22669,23248,23441,23653,23731,23325,23827,23518,23518,23325,22630,22205,21703,21124,21085,20313,19869,19386,18845,17861,16837,16297,15930,15872,16026,16606,16915,17223,17146,17108,17301,17030,16779,17069,16644,16451,16219,15601,15370,14906,14597,14327,14057,13671,13593,12821,12357,12087,11971,11585,11160,11122,11122,10967,11295,11392,11508,11469,11160,11353,11373,11160,11604,11431,11469,11662,11662,11662,11585,11778,12473,12821,13323,14134,14443,15196,15930,16548,16915,17397,17668,17339,16490,15215,14288,13362,12975,12840,13014,13593,14134,14984,16084,16606,17957,18305,19232,19927,20004,20313,20313,20390,20313,19946,19019,18305,16219,14559,12821,11508,11218,11392,12319,13516,14752,15293,15544,15486,15215,15080,14443,14597,13902,13439,13014,12435,11894,11508,11315,11083,10600,10369,10272,9673,9673,9191,9114,8920,8283,7820,7260,6661,6256,5638,5310,5425,5097,4981,5097,5020,5232,5078,5097,5174,5174,5252,5483,5174,5329,5483,5483,5599,5387,5503,5561,5213,5348,5020,4943,4943,4711,4634,4711,4634,4711,4672,4518,4479,4286,4248,4421,4035,4170,3861,3823,4093,3572,3707,3784,3494,3649,3514,3186,3340,3089,3089,3050,2780,2857,2587,2432,2510,1,9.9,5.21,inferior
617,733,753,598,772,695,617,772,714,656,559,559,598,559,502,695,598,559,617,405,733,791,926,1235,1525,1892,2355,2703,3630,4363,5348,6024,6642,6951,7337,7607,7839,7743,7569,7569,7202,7202,7453,7530,8225,8418,8959,9229,9654,10118,10736,11044,11836,12164,12435,12917,12975,13053,13439,13207,13323,12860,13168,13362,13053,13323,13864,14134,14366,14597,14887,15061,15331,15910,16548,16470,16934,17262,17841,18536,19270,19792,20023,21240,22012,22476,23094,23557,23866,23905,24407,23943,24329,24040,23596,23634,22862,22727,22089,21472,21278,20931,19927,19772,19096,18073,17455,16567,16297,15988,16374,17146,17069,17417,17648,17455,17687,17339,17339,17243,16721,16663,16528,15679,15756,15099,14713,14752,14211,14211,13786,13053,12937,12589,11855,11817,11431,11160,11353,11353,11489,11682,11682,11701,11547,11547,11585,11353,11778,11624,11778,11855,11817,11836,11971,12126,12589,12917,13593,14404,14984,15833,16316,17088,17532,18170,18266,17880,17339,16065,14501,14018,13555,13400,13516,14288,14713,15640,16683,17455,18691,19386,20236,20757,21008,21085,21587,21472,21394,20738,20043,19154,17397,15254,13284,11971,11662,11971,12860,14308,15408,16258,16412,16142,15988,16007,15293,15177,14520,13825,13671,12821,12628,12126,12049,11778,11180,10832,11006,10272,10291,9886,9616,9307,8611,8148,7665,7028,6565,5850,5676,5561,5329,5348,5252,5097,5445,5290,5329,5445,5348,5483,5792,5580,5599,5773,5754,5908,5657,5676,5754,5483,5445,5406,5097,5059,4788,4788,4730,4730,4943,4943,4711,4711,4421,4325,4557,4267,4112,4112,3939,4093,3784,3823,3784,3533,3649,3630,3321,3475,3282,3243,3089,2857,2896,2703,2529,2606,1,9.9,5.21,inferior
753,849,849,617,791,714,675,868,656,637,617,637,656,617,540,695,559,579,695,502,772,830,868,1274,1564,1930,2317,2722,3475,4286,5329,6140,6661,7163,7453,7627,7704,7723,7762,7569,7183,7279,7414,7723,8283,8554,8959,9500,9963,10349,10909,11160,11991,12473,12512,13149,13072,13593,13786,13439,13632,13362,13207,13362,13323,13825,14134,14385,14771,14906,15061,15370,15756,16142,16683,17030,17706,17861,18556,19193,19695,20274,20854,21819,22630,23113,23557,24175,24561,24484,24715,24715,25063,24754,24561,24870,23885,23673,22785,22398,22186,21143,20776,20641,19850,18923,17996,17301,17030,16760,17069,17996,17803,17996,18536,18150,18247,18073,17648,17841,17610,17474,17108,16470,16239,15930,15331,15293,14868,14829,14597,14095,13458,13014,12628,12319,11817,11817,11759,11778,11971,12242,12280,12551,11971,12280,12087,12126,12300,12300,12280,12551,12435,12531,12589,12840,13497,13825,14829,15331,15833,16837,17223,18266,19077,19599,19541,19618,18768,17339,15949,15486,14868,14752,15138,15698,16297,17339,18305,19077,20332,21201,21974,22630,23094,23113,23634,23345,23171,22785,22186,20931,18845,16915,14829,13072,12782,13053,14597,15795,17030,17532,18150,17706,17687,17532,17069,16606,16104,15524,15215,14404,13941,13613,13284,13014,12280,12087,11894,11469,11373,11122,10600,10504,9673,9133,8360,7820,7453,6642,6294,6101,5966,5850,5947,5812,6178,5966,5947,6101,5966,6101,6410,6178,6256,6352,6275,6526,6256,6217,6275,6043,6063,5908,5696,5657,5329,5252,5348,5290,5445,5310,5136,5136,4904,4827,4981,4788,4672,4537,4325,4479,4112,4267,4074,3919,4074,3861,3630,3919,3591,3494,3437,3186,3263,3012,2819,2857,1,9.9,5.21,inferior
733,830,849,656,888,772,656,868,656,733,617,540,695,598,617,695,540,598,617,463,695,617,656,849,965,1042,1293,1428,1892,2162,2664,2973,3243,3572,3572,3668,3823,3630,3746,3784,3514,3398,3475,3398,3919,3919,4054,4190,4402,4576,4808,4981,5136,5174,5290,5425,5445,5483,5638,5425,5773,5406,5599,5676,5425,5425,5541,5676,5908,5812,5773,6005,6121,6410,6893,7028,7588,7994,8534,9307,9654,10156,10774,11276,11855,12396,12531,13111,13053,13072,13053,13014,12975,12628,12222,12280,11315,11199,10427,9886,9751,8959,8515,8496,8071,7569,7183,6623,6584,6410,6256,6526,6487,6854,6719,6526,6738,6449,6333,6526,6121,6024,5947,5638,5715,5406,5097,5290,5020,5020,4962,4479,4518,4112,4132,3977,3746,3514,3630,3359,3630,3552,3475,3668,3398,3610,3552,3398,3649,3437,3630,3823,3803,3977,4190,4402,4846,5329,6101,6835,7183,8418,9461,10369,11295,12300,13226,13786,13844,13516,13014,12840,13091,13458,14153,15254,16104,17397,18807,20120,21665,22939,23711,25102,25411,25604,26337,26434,25816,25565,24754,23866,21665,19309,16760,15312,14675,15061,16490,18150,19463,19946,20352,20081,20158,19888,19077,18884,18575,17532,17339,16239,15775,15408,15099,14559,14211,13902,13458,13053,12917,12396,12164,11778,10987,10291,9654,8805,8380,7685,7163,7105,6835,6603,6835,6700,6796,6835,6681,6951,6893,6796,7125,6989,7047,7183,7028,7337,6989,7144,7028,6951,6796,6603,6352,6217,6159,5985,6024,5812,6063,5812,5676,5676,5425,5348,5541,5290,5097,4981,4865,4962,4518,4750,4672,4344,4537,4383,4054,4074,3939,3977,3823,3572,3630,3321,3108,3166,1,9.9,5.21,lado 1
772,656,810,617,714,675,617,849,617,637,559,521,540,521,463,656,540,521,579,405,695,656,637,791,888,1119,1351,1390,1815,2259,2780,3166,3340,3688,3861,3958,4054,4016,3939,3939,3668,3707,3707,3784,4170,4132,4402,4634,4750,4865,5136,5290,5580,5638,5638,5908,5908,6043,6121,5908,6198,5947,5812,6198,5773,5908,5947,6043,6198,6121,6236,6410,6565,6700,7105,7492,7916,8303,8805,9500,9770,10369,10967,11392,12087,12396,12840,13207,13072,13149,13226,13072,13072,12705,12512,12280,11353,11527,10832,9982,9809,9152,8727,8515,8129,7627,7221,6719,6603,6352,6217,6507,6449,6661,6642,6449,6642,6642,6275,6410,6101,5947,5947,5696,5657,5445,5252,5194,5001,4885,4711,4518,4402,4170,4112,4016,3533,3533,3591,3340,3494,3494,3437,3533,3398,3494,3533,3321,3552,3359,3552,3746,3726,3861,4132,4286,4808,5329,6082,6951,7279,8534,9268,10523,11373,12551,13072,13825,13941,13574,13265,13207,13168,13690,14153,15466,16528,17532,19502,20197,22109,23094,24291,25121,25584,26029,26492,26646,26492,25874,25218,24175,21703,19347,16992,15447,15293,15370,16779,18324,19405,20429,20796,20873,20564,20158,19618,19463,18479,18092,17474,16528,16007,15389,15370,15003,14404,13941,13825,13362,13168,12937,12222,12049,11122,10581,9886,9036,8496,7762,7472,7260,6835,6854,6989,6912,7144,7028,6874,6893,6951,7086,7260,7183,7144,7279,7202,7453,7183,7202,7144,6738,6951,6796,6487,6372,6333,6043,5947,5947,6024,6043,5792,5638,5503,5387,5483,5290,5194,5039,4943,5136,4711,4672,4634,4325,4441,4479,4151,4209,4093,3900,3900,3707,3591,3321,3089,3263,1,9.9,5.21,lado 1
733,849,791,714,830,695,695,810,656,617,617,617,598,579,559,695,502,579,617,405,714,617,598,849,926,1158,1428,1428,1815,2201,2819,3186,3282,3649,3823,3939,4190,3939,3939,3900,3552,3746,3746,3668,4112,4170,4248,4672,4595,4885,5039,5252,5503,5715,5754,5966,5870,5985,6101,5947,6121,5908,5947,5966,5870,5831,5947,5966,6217,6256,6333,6256,6565,6796,7125,7337,7955,8264,8920,9500,9963,10504,10967,11508,12145,12435,12551,13168,13207,13381,13381,13053,13014,12763,12512,12280,11431,11199,10697,9886,9925,9036,8631,8592,8109,7627,7183,6565,6603,6545,6294,6584,6352,6681,6719,6507,6874,6526,6333,6642,5831,5870,5985,5676,5850,5522,5174,5174,5020,4943,4711,4518,4479,4093,3958,3900,3707,3514,3649,3321,3417,3514,3475,3649,3475,3494,3494,3321,3552,3398,3475,3746,3746,3861,4248,4402,4808,5329,5831,6951,7414,8669,9365,10427,11624,12396,13091,13825,13902,13516,13284,13053,13439,13593,14443,15389,16528,17687,19251,20236,21974,22978,24329,25430,25642,25816,26878,26415,26569,26260,25411,24252,22205,19425,16953,15679,14906,15601,16992,18382,19560,20583,20931,20641,20583,20429,19811,19425,18710,18170,17552,16721,16258,15640,15524,14984,14404,14288,13941,13362,13381,12512,12589,12049,11353,10736,9886,9210,8341,7800,7376,7183,6874,6700,6951,6874,7105,7105,6835,6912,6951,7067,7356,7183,7260,7318,7221,7646,7337,7144,7202,6989,6951,6796,6681,6487,6101,5985,6101,6198,6217,5985,5870,5754,5599,5483,5676,5406,5348,5039,5020,5194,4788,4943,4653,4460,4479,4518,4248,4248,4054,3900,3861,3668,3746,3321,3070,3205,1,9.9,5.21,lado 1
733,733,772,656,868,695,617,810,598,617,540,540,617,598,521,656,540,521,540,424,695,675,772,984,1158,1467,1930,2124,2799,3494,4248,5116,5406,6024,6526,6333,6738,6526,6449,6449,6043,5947,5908,5792,6430,6526,6738,7221,7492,7762,8109,8399,8747,8747,8882,9191,9114,9249,9461,8998,9384,9075,9210,9114,8978,8727,8901,8998,9056,8882,8689,8901,9036,9210,9828,9905,10427,10658,11276,12126,12570,12840,13555,13709,14675,15061,15486,15486,15370,15370,15795,15293,15312,14984,14443,14443,13323,13053,12531,11662,11353,10504,10002,9944,9307,8573,8129,7723,7511,7414,7453,7646,7530,7723,7723,7492,7395,7414,7105,7260,6835,6661,6719,6294,6487,6159,5908,5966,5657,5503,5406,5059,4827,4441,4383,4325,3977,3919,3861,3668,3900,3765,3784,3861,3572,3649,3552,3552,3784,3630,3784,4035,4016,4267,4518,4865,5483,6024,6989,7839,8496,9673,10678,11740,12975,13941,14404,14926,14810,14366,13902,13844,13825,14597,14984,15795,16876,18150,19560,20467,22321,23248,24445,25256,26106,25893,26743,26299,26299,25990,25256,23827,21414,19386,16779,15389,15080,15524,16702,18614,19927,20429,20796,20564,20622,20467,19714,19405,18845,18247,17648,16721,16239,15544,15428,15003,14366,13979,13941,13439,13149,12744,12280,11894,11276,10542,9828,8959,8438,7762,7279,7202,6951,6835,7067,6989,7144,6951,6951,7183,6989,7105,7279,7105,7202,7337,7202,7569,7279,7144,7260,6951,6989,6816,6565,6584,6275,6217,6217,5966,6178,5985,5870,5715,5561,5483,5715,5368,5387,5097,5097,5271,4846,4885,4730,4421,4614,4518,4267,4248,4035,4074,3803,3649,3649,3321,3243,3282,1,9.9,5.21,lado 2
714,791,907,675,810,810,733,830,695,733,656,637,656,656,579,772,579,598,675,502,733,695,926,1081,1293,1506,2046,2278,2838,3475,4344,5213,5599,6101,6487,6719,6874,6623,6526,6526,6140,6101,5850,5947,6410,6526,6893,7144,7453,7878,8225,8283,8766,8824,8959,9268,9056,9268,9461,9268,9365,9345,9171,9191,9056,8959,8805,8998,9114,9114,9114,9056,9191,9345,9731,9963,10620,10948,11392,12280,12628,13091,13632,14288,14713,15022,15505,15833,15486,15486,15756,15486,15293,15235,14559,14424,13323,13323,12744,11933,11566,10813,10156,9963,9577,8959,8418,7723,7723,7607,7492,7492,7723,7839,7762,7685,7665,7511,7356,7453,6912,6893,6912,6565,6391,6217,5908,6024,5715,5561,5561,5194,4981,4595,4479,4557,4170,4093,4054,3784,3900,3977,3900,4054,3707,3784,3881,3649,3939,3900,3861,4325,4132,4402,4634,4904,5638,6178,7028,7955,8611,9809,10600,11817,13014,13786,14443,15215,15061,14597,14076,13960,13941,14250,15061,16142,17069,18170,19541,20796,22591,23325,24561,25430,25835,26125,26936,26608,26782,26183,25372,24020,22031,19579,17011,15563,15389,15679,17030,18884,19946,20583,21163,21124,20545,20429,19772,20004,18691,18382,17764,16915,16297,15795,15370,15235,14694,14424,13999,13516,13323,12898,12666,12300,11373,10871,10040,9307,8515,7839,7588,7279,7067,7047,7047,6932,7298,7105,7047,7183,7144,7221,7453,7221,7337,7376,7472,7569,7376,7337,7492,7144,7183,6816,6681,6681,6294,6256,6217,6198,6372,6101,5947,5870,5657,5715,5792,5541,5561,5174,5059,5194,4846,4981,4788,4518,4711,4614,4286,4325,4093,4016,4035,3765,3746,3321,3263,3359,1,9.9,5.21,lado 2
714,753,849,695,868,695,695,830,675,656,617,559,617,579,579,637,579,540,598,463,695,656,791,1023,1255,1506,1950,2085,2819,3437,4402,5059,5638,5908,6333,6430,6796,6526,6410,6410,6121,5754,5947,5908,6430,6642,6719,7221,7511,7955,8129,8380,8727,8882,8747,9191,9191,9307,9596,9152,9422,9191,9268,9229,8882,8805,8843,8901,9036,8805,8959,8920,8882,9307,9809,10040,10388,10813,11122,12049,12435,12917,13535,13999,14404,14984,15293,15408,15486,15293,15544,15235,15293,15138,14559,14443,13477,13014,12435,11662,11373,10581,9982,9925,9345,8727,8225,7878,7356,7337,7453,7511,7356,7723,7549,7298,7492,7183,7183,7202,6835,6642,6796,6256,6487,5947,5792,5927,5522,5483,5368,5020,4846,4499,4421,4190,3958,3861,3939,3649,3746,3784,3746,3900,3572,3803,3591,3456,3668,3610,3823,3958,4054,4248,4576,4865,5483,5966,6681,7646,8573,9654,10542,11817,12705,13671,14366,15003,14906,14366,14018,13632,13902,14095,14713,15833,16876,18112,19618,20545,22012,23248,24040,25121,25874,25874,26608,26202,26415,25797,24870,23866,21896,19077,17069,15370,15138,15601,16683,18730,19927,20467,20738,20622,20699,20158,19541,19251,18614,18073,17455,16683,16219,15408,15486,15080,14404,14404,14095,13323,13207,12705,12435,12126,11044,10600,9828,9056,8496,7800,7376,7183,7028,6951,7105,6989,7047,6989,6835,7047,7067,6951,7260,7183,7260,7337,7356,7723,7492,7144,7298,6951,7028,6681,6565,6642,6256,6217,6198,5927,6101,6178,5812,5792,5599,5561,5676,5348,5368,5097,4943,5290,4865,4885,4653,4441,4672,4402,4363,4248,4016,4074,4016,3552,3707,3321,3186,3089,1,9.9,5.21,lado 2
656,695,810,559,714,695,617,772,617,617,559,482,540,579,424,598,540,502,559,424,617,617,714,772,849,1081,1351,1351,1853,2259,2780,3340,3630,4016,4190,4383,4518,4634,4402,4421,4151,4190,4151,4112,4672,4595,4923,5387,5329,5638,5908,6178,6294,6487,6410,6796,6796,6874,6989,6681,6874,6681,6835,6796,6487,6584,6642,6584,6893,6738,6758,6758,6874,7144,7414,7685,8109,8418,8805,9616,9809,10272,10851,11276,11740,12126,12396,12473,12454,12300,12589,12222,12551,12357,12049,11740,10890,10736,10272,9654,9461,8747,8457,8341,7878,7337,6989,6487,6333,6140,6256,6584,6430,6430,6526,6333,6256,6178,5966,6024,5754,5638,5657,5252,5445,5252,4904,5020,4788,4576,4576,4209,4190,3861,3784,3784,3514,3321,3437,3108,3263,3243,3282,3514,2992,3205,3166,3128,3282,3243,3359,3572,3572,3726,3939,4209,4595,5097,5715,6565,7144,8109,8843,9886,10813,11585,12164,12744,12821,12280,12203,12087,12396,12628,13207,14443,15157,16412,17919,18923,20583,21394,22572,23480,24175,24484,24947,24889,24580,24484,23480,22398,20622,18247,16161,14520,14057,14443,15833,17301,18614,19232,19579,19232,19154,19174,18266,18112,17397,16992,16528,15640,15061,14597,14404,14057,13555,13207,13014,12396,12666,11894,11373,11373,10542,9963,9307,8496,7897,7260,6758,6738,6430,6410,6487,6410,6700,6603,6565,6738,6449,6487,6989,6603,6912,6796,6874,6951,6874,6951,6989,6661,6661,6391,6217,6101,5947,5908,5715,5638,5754,5715,5561,5483,5348,5174,5252,5097,4865,4865,4788,4865,4518,4479,4479,4190,4267,4248,3861,4093,3803,3784,3649,3398,3591,3186,3012,3050,1,9.9,5.21,tallo
